Theme,Indicator Name
Carbon Emissions,Annual Carbon Emissions
Water Consumption,Annual Water Consumption
Renewable Energy,Renewable Energy Usage
Materials Usage,Sustainable Materials Usage Ratio
Waste Management,Waste Recycling Rate
