symbol,security,gics_sector,gics_industry,country,region,report_url,report_year
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2018.pdf,2018.0
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2016.pdf,2016.0
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2011.pdf,2011.0
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2019.pdf,2019.0
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2017.pdf,2017.0
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_ACN_2013.pdf,2013.0
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,US,North America,https://www.taxwatchuk.org/wp-content/uploads/2019/08/190803_World_of_Taxcraft_FINAL.pdf,2019.0
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,US,North America,https://www.coca-colacompany.com/content/dam/journey/us/en/policies/pdf/safety-health/coca-cola-business-and-sustainability-report-2018.pdf,2018.0
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,US,North America,https://www.brunelpensionpartnership.org/wp-content/uploads/2023/05/2023-Responsible-Investing-and-Stewardship-Report.pdf,2023.0
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,US,North America,https://www.coca-colacompany.com/content/dam/company/us/en/reports/pdf/coca-cola-business-environmental-social-governance-report-2020.pdf,2020.0
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,US,North America,https://www.wellington.com/content/dam/wellington/pdf/en/2021-sustainability-report.pdf,2021.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2017.pdf,2017.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2016.pdf,2016.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2014.pdf,2014.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2022.pdf,2022.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2013.pdf,2013.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2018.pdf,2018.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2019.pdf,2019.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2021.pdf,2021.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2020.pdf,2020.0
ADBE,Adobe Systems Inc,Information Technology,Application Software,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_ADBE_2015.pdf,2015.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2022.pdf,2022.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2014.pdf,2014.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2013.pdf,2013.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2021.pdf,2021.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2017.pdf,2017.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2010.pdf,2010.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2020.pdf,2020.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2019.pdf,2019.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2011.pdf,2011.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2015.pdf,2015.0
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,US,North America,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NASDAQ_AMD_2012.pdf,2012.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,US,North America,https://group.mercedes-benz.com/documents/sustainability/reports/daimler-sustainability-report-2014.pdf,2014.0
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,US,North America,https://keurigdrpepper.ca/wp-content/uploads/2024/03/Keurig-Dr-Pepper-Corporate-Responsibility-Report-2019.pdf,2019.0
